Identifiant de la taxe pour le rapport particulier;Nom de la taxe;Article;Corpus;Organisme affectataire;Classification du Conseil des prélèvements obligatoires;2007;2008;2009;2010;2011;2012 (p);2013 (p)
37;Taxe d'apprentissage - versements au titre de la péréquation;article 224 et suivants;code général des impôts;Caisses d'assurances d'accidents agricoles d'Alsace-Moselle;Contribution rendue obligatoire par l'État;190;192;195;198;201;201;201
9967;"Taxe d'apprentissage - Partie ""hors quota"" ou ""part soumise au barème"" - versements aux établissements de formation";article 224 et suivants;code général des impôts;Divers établissements de formation;Contribution rendue obligatoire par l'État;839;842;847;856;877;880;875
9969;Taxe d'apprentissage - Part du quota mentionnée au deuxième alinéa de l'article L 6241-2 du Code du travail;article 224 et suivants;code général des impôts;Caisses d'assurances d'accidents agricoles d'Alsace-Moselle;Contribution rendue obligatoire par l'État;;;;;;;
9899;Contribution supplémentaire à l'apprentissage;article 230 H;code général des impôts;CAS Financement national du développement et de la modernisation de l'apprentissage;Affectation interne;;;;0;0,483;215;235
180;Taxe sur les salaires;article 231;code général des impôts;Caisse nationale d'allocations familiales;Réaffectation aux organismes de sécurité sociale;;;;;;;
180;Taxe sur les salaires;article 231;code général des impôts;Caisse nationale d'assurance maladie des travailleurs salariés;Réaffectation aux organismes de sécurité sociale;;;;;;;
180;Taxe sur les salaires;article 231;code général des impôts;Caisse nationale d'assurance vieillesse des travailleurs salariés;Réaffectation aux organismes de sécurité sociale;;;;;;;
180;Taxe sur les salaires;article 231;code général des impôts;Divers régimes de sécurité sociale;Réaffectation aux organismes de sécurité sociale;;11016;11119;;;;
180;Taxe sur les salaires;article 231;code général des impôts;Fonds de solidarité vieillesse;Réaffectation aux organismes de sécurité sociale;;;;;;;
180;Taxe sur les salaires;article 231;code général des impôts;Multiples (social);Réaffectation aux organismes de sécurité sociale;;;;11437;11665;11902;12080
554;Droit de licence sur la rémunération des débitants de tabacs;article 231;code général des impôts;Caisse nationale d'assurance maladie des travailleurs salariés;Réaffectation aux organismes de sécurité sociale;;;;302;318;326;334
179;Taxe annuelle sur les locaux à usage de bureaux, les locaux commerciaux, les locaux de stockage et les surfaces de stationnement annexées à ces catégories de locaux perçue dans la région Ile-de-France;article 231 ter;code général des impôts;Union d'économie sociale du logement;Contribution rendue obligatoire par l'État;129;129;130;133;133;133;133
9924;Taxe sur les logements vacants au profit de l'ANAH;article 232;code général des impôts;Agence nationale pour l'amélioration de l'habitat;Agence de l'État;;;;;;;
54;Taxe annuelle sur les logements vacants;article 232-I et suiv.;code général des impôts;Agence nationale de l'habitat;Agence de l'État;18;18;19;20;19;20;20
40;Contribution pour le financement des contrats et périodes de professionnalisation et du droit individuel à la formation à 0,15% et 0,5%;article 235 ter KE et 235 ter GA bis;code général des impôts;Organismes paritaires collecteurs agréés;Contribution rendue obligatoire par l'État;;;;;;;
9902;Contribution pour le financement des CP,PP et du DIF à 0,15% et 0,5%;article 235 ter KE et 235 ter GA bis;code général des impôts;Association de gestion du fonds de formation en alternance;Contribution rendue obligatoire par l'État;;;;;;;
574;Contribution sociale sur les bénéfices;article 235 ter ZC;code général des impôts;Divers régimes de sécurité sociale;Réaffectation aux organismes de sécurité sociale;0;1087;553;823;850;859;868
138;TVA brute sur les produits pharmaceutiques (commerce de gros);article 256 et suivants;code général des impôts;Caisse nationale d'assurance maladie des travailleurs salariés;Réaffectation aux organismes de sécurité sociale;;;;3325;3471;3714;0
9939;TVA brute collectée par les médecins généralistes;article 256 et suivants;code général des impôts;Caisse nationale d'assurance maladie des travailleurs salariés;Réaffectation aux organismes de sécurité sociale;;;;0;236;242;0
26;Contribution due par les entreprises exploitant des médicaments bénéficiant d'une AMM;article 278 quater et 281 octies;code général des impôts;Caisse nationale d'assurance maladie des travailleurs salariés;Affectation initiale aux organismes de sécurité sociale;;;;241;255;402;402
138;TVA brute sur les produits pharmaceutiques (commerce de gros);article 278 quater et 281 octies;code général des impôts;Divers régimes de sécurité sociale;Réaffectation aux organismes de sécurité sociale;;3176;;;;;
139;TVA brute sur les tabacs;article 298 quaterdecies;code général des impôts;Divers régimes de sécurité sociale;Réaffectation aux organismes de sécurité sociale;;3067;;;;;
276;Taxe due par les concessionnaires d'autoroutes;article 302 bis ZB;code général des impôts;Agence de financement des infrastructures de transport de France;Agence de l'État;526;521;528;539;545;555;555
264;Contribution sur la cession à un service de télévision des droits de diffusion de manifestations ou de compétitions sportives;article 302 bis ZE;code général des impôts;Agence française de lutte contre le dopage;Agence de l'État;;0;;;;;
264;Contribution sur la cession à un service de télévision des droits de diffusion de manifestations ou de compétitions sportives;article 302 bis ZE;code général des impôts;Centre national pour le développement du sport;Agence de l'État;40;43;43;43;43;43;43
257;Taxe sur les boues d'épuration urbaines ou industrielles;article 302 bis ZF;code général des impôts;Fonds de garantie des risques liés à l'épandage des boues d'épuration urbaines ou industrielles;Contribution rendue obligatoire par l'État;0;0;0;1;1;1;1
2;Cotisation spéciale sur les boissons alcooliques;article 402 bis;code général des impôts;Caisse centrale de la mutualité sociale agricole;Affectation initiale aux organismes de sécurité sociale;;;;525;592;590;680
4;Droit de consommation sur les produits intermédiaires;article 402 bis;code général des impôts;Divers régimes de sécurité sociale;Réaffectation aux organismes de sécurité sociale;;;;;;;
4;Droit de consommation sur les produits intermédiaires;article 402 bis;code général des impôts;Régime de protection sociale des non salariés agricoles;Réaffectation aux organismes de sécurité sociale;;107;;;;;
1139;Droit de circulation sur les vins, cidres, poirés et hydromels;article 403 et 1615 bis;code général des impôts;Caisse centrale de la mutualité sociale agricole;Réaffectation aux organismes de sécurité sociale;;;;119;122;125;127
5;Droits de consommation sur les alcools;article 403 I;code général des impôts;Divers régimes de sécurité sociale;Affectation initiale aux organismes de sécurité sociale;1990;2005;;;;;
5;Droits de consommation sur les alcools;article 403 I;code général des impôts;Régime de protection sociale des non salariés agricoles;Affectation initiale aux organismes de sécurité sociale;;0;2031;;;;
5;Droits de consommation sur les alcools;article 403-1 et 1615 bis;code général des impôts;Divers régimes de sécurité sociale;Réaffectation aux organismes de sécurité sociale;;;;;;;
3;Droit de circulation sur les vins, cidres, poirés et hydromels;article 438;code général des impôts;Divers régimes de sécurité sociale;Réaffectation aux organismes de sécurité sociale;;114;;;;;
1139;Droit de circulation sur les vins, cidres, poirés et hydromels;article 438;code général des impôts;Divers régimes de sécurité sociale;Réaffectation aux organismes de sécurité sociale;;;;;;;
1139;Droit de circulation sur les vins, cidres, poirés et hydromels;article 438;code général des impôts;Régime de protection sociale des non salariés agricoles;Réaffectation aux organismes de sécurité sociale;0;0;;;;;
1140;Taxe sur les véhicules de société;article 438;code général des impôts;Caisse centrale de la mutualité sociale agricole;Réaffectation aux organismes de sécurité sociale;;;;995;927;998;932
4;Droit de consommation sur les produits intermédiaires;article 520 A;code général des impôts;Caisse centrale de la mutualité sociale agricole;Réaffectation aux organismes de sécurité sociale;;;;98;94;100;74
6;Droit sur les bières et les boissons non alcoolisées;article 520 A;code général des impôts;Divers régimes de sécurité sociale;Réaffectation aux organismes de sécurité sociale;;375;;;;;
6;Droit sur les bières et les boissons non alcoolisées;article 520 A;code général des impôts;Régime de protection sociale des non salariés agricoles;Réaffectation aux organismes de sécurité sociale;;0;;;;;
9904;Contribution perçue sur les boissons et préparations liquides pour boissons destinées à la consommation humaine;article 520 A et 520 B;code général des impôts;Caisse nationale d'assurance maladie des travailleurs salariés;Réaffectation aux organismes de sécurité sociale;;;;;0;150;153
6;Droit sur les bières et les boissons non alcoolisées;article 520 A I a et b;code général des impôts;Divers régimes de sécurité sociale;Réaffectation aux organismes de sécurité sociale;;;;;;;
554;Droit de licence sur la rémunération des débitants de tabacs;article 568;code général des impôts;Divers régimes de sécurité sociale;Réaffectation aux organismes de sécurité sociale;0;277;306;;;;
7;Taxe sur les prémix;article 575;code général des impôts;Caisse nationale d'assurance maladie des travailleurs salariés;Affectation initiale aux organismes de sécurité sociale;;;;0;0;0;0
715;Droits de consommation sur les tabacs;article 575;code général des impôts;Divers régimes de sécurité sociale;Réaffectation aux organismes de sécurité sociale;799;984;3163;;;;
1138;Droit de consommation sur les tabacs;article 575;code général des impôts;Fonds de solidarité;Agence de l'État;;;;;;;
1138;Droits de consommation sur les tabacs;article 575;code général des impôts;Caisse nationale d'assurance maladie des travailleurs salariés;Réaffectation aux organismes de sécurité sociale;;;;;;;
1138;Droits de consommation sur les tabacs;article 575;code général des impôts;Fonds de cessation anticipée d'activité des travailleurs de l'amiante;Réaffectation aux organismes de sécurité sociale;;;;;;;
1138;Droits de consommation sur les tabacs;article 575;code général des impôts;Fonds national d'aide au logement;Prélèvements péréquateurs;;;;;;;
1138;Droits de consommation sur les tabacs;article 575;code général des impôts;Multiples (social);Réaffectation aux organismes de sécurité sociale;8329;8342;6062;;;;
1138;Droits de consommation sur les tabacs;article 575;code général des impôts;Régime de protection sociale des non salariés agricoles;Réaffectation aux organismes de sécurité sociale;;;;;;;
1381;Droits de consommation sur les tabacs;article 575;code général des impôts;Fonds de solidarité;Agence de l'État;;;;;;;
1381;Droits de consommation sur les tabacs;article 575;code général des impôts;Fonds unique de péréquation;Prélèvements péréquateurs;;119;;;;;
1401;Droits de consommation sur les tabacs;article 575;code général des impôts;Divers régimes de sécurité sociale;Réaffectation aux organismes de sécurité sociale;;0;396;;;;
9881;Droits de consommation sur les tabacs;article 575;code général des impôts;Caisse centrale de la mutualité sociale agricole;Réaffectation aux organismes de sécurité sociale;;;;9745;10536;10515;10767
9881;Droits de consommation sur les tabacs;article 575;code général des impôts;Divers régimes de sécurité sociale;Réaffectation aux organismes de sécurité sociale;;;;326;143;438;438
9881;Droits de consommation sur les tabacs;article 575;code général des impôts;Fonds de solidarité;Agence de l'État;;;;129;137;139;140
9926;Droits de consommation sur les tabacs;article 575;code général des impôts;Caisse nationale d'assurance maladie des travailleurs salariés;Réaffectation aux organismes de sécurité sociale;;;;;;;
9926;Droits de consommation sur les tabacs;article 575;code général des impôts;Divers régimes de sécurité sociale;Réaffectation aux organismes de sécurité sociale;;;;;;;
9926;Droits de consommation sur les tabacs;article 575;code général des impôts;Fonds de cessation anticipée d'activité des travailleurs de l'amiante;Réaffectation aux organismes de sécurité sociale;;;;;;;
9926;Droits de consommation sur les tabacs;article 575;code général des impôts;Fonds de financement de la protection complémentaire de la couverture universelle du risque maladie;Agence de l'État;411;372;0;0;0;0;361
9926;Droits de consommation sur les tabacs;article 575;code général des impôts;Fonds de financement des prestations sociales des non-salariés agricoles;Réaffectation aux organismes de sécurité sociale;;;;;;;
9926;Droits de consommation sur les tabacs;article 575;code général des impôts;Fonds national d'aide au logement;Prélèvements péréquateurs;;;;;;;
9926;Droits de consommation sur les tabacs;article 575;code général des impôts;Multiples (social);Réaffectation aux organismes de sécurité sociale;;;;;;;
240;Taxe additionnelle aux droits d'enregistrement et à la taxe de publicité foncière perçus au profit des départements;article 678 bis;code général des impôts;Centre des monuments nationaux;Agence de l'État;70;;;;;;
9885;Droit de timbre sur les demandes de naturalisation, les demandes de réintégration dans la nationalité française et les déclarations d'acquisition de la nationalité en raison du mariage;article 958;code général des impôts;Office français de l'immigration et de l'intégration;Agence de l'État;;;;;6;;4
9886;Droit de timbre annuel conditonnant l'accès à l'aide médicale de l'Etat;article 968 E;code général des impôts;Fonds national de l'aide médicale de l'État;Réaffectation aux organismes de sécurité sociale;;;;;3;3;0
23;Redevance due par les titulaires de titres d'exploitation de mines d'hydrocarbures liquides ou gazeux;article 31;code minier;Caisse autonome nationale de la sécurité sociale dans les mines;Réaffectation aux organismes de sécurité sociale;2;2;2;2;2;2;2
9893;Contributions pour frais de contrôle;article L. 612-20;code monétaire et financier;Autorité de contrôle prudentiel;Agence de l'État;;;;162;163;187;163
263;Droits et contributions pour frais de contrôle;article L. 621-5-3 et D. 621-27 et suiv.;code monétaire et financier;Autorité des marchés financiers;Agence de l'État;54;65;48;50;81;80;81
279;Taxe piscicole;article 141;code rural;Office national de l'eau et des milieux aquatiques;Agence de l'État;10;;;;;;
9909;Contribution des chambres départementales au financement des chambre régionale d'agriculture;article D. 512-8;code rural et de la pêche maritime;Chambres régionales d'agriculture;Monde consulaire;;;;0;;;
655;Droit sur les produits bénéficiant d'une appellation d'origine ou d'une indication géographique protégée;article L. 642-13;code rural et de la pêche maritime;Institut national de l'origine et de la qualité;Agence de l'État;4;4;4;4;4;4;4
280;Redevances cynégétiques;article 22;Décret 72-334 modifié du 27 avril 1972;Office national de la chasse et de la faune sauvage;Agence de l'État;;;;;;;
9749;Redevances (pollution et prélèvements) au profit des agences de l'eau;article 4;décret du 14 septembre 1966;Agences de l'eau;Agence de l'État;;;;;;;
280;Redevances cynégétiques;article 13;Décret n°76-398 du 7 mai 1976;Office national de la chasse et de la faune sauvage;Agence de l'État;;;;;;;
234;Cotisations (normale et supplémentaire) des entreprises cinématographiques;article 20;LFI 1970;Centre national du cinéma et de l'image animée;Agence de l'État;;;;;;;
9920;"Contributions additionnelle et complémentaire aux primes ou cotisations d'assurance couvrant à titre exclusif ou principal:- les dommages aux bâtiments et au cheptel mort affectés aux exploit. agric.; - les risques responsabilité civ.";article 49;LFI 1972 n° 71-1061 du 29 décembre 1971;Fonds national de garantie des risques agricoles et fonds de calamités agricoles dans les départements d'outre-mer;Contribution rendue obligatoire par l'État;;;;;;;
45;Taxe spécifique pour la Chambre nationale de la batellerie artisanale;article 93;LFI 1985;Chambre nationale de la batellerie artisanale;Agence de l'État;1;1;1;1;1;1;1
9865;Taxe pourvoyant aux dépenses de la chambre nationale de la batellerie artisanale;article 93-11;LFI 1985;Chambre nationale de la batellerie artisanale;Agence de l'État;;;;;;;
56;Taxe sur les titulaires d'ouvrages de prise d'eau, rejet d'eau ou autres ouvrages hydrauliques destinés à prélever ou à évacuer des volumes d'eau;article 124;LFI 1991;Voies navigables de France;Agence de l'État;120;125;129;125;138;140;149
9928;Taxe sur les titulaires d'ouvrages de prise d'eau, rejet d'eau ou autres ouvrages hydrauliques destinés à prélever ou à évacuer des volumes d'eau;article 124;LFI 1991;Voies navigables de France;Agence de l'État;;;;;;;
48;Taxe spéciale d'équipement;article 97;LFI 1998;"Agence pour la mise en valeur des espaces urbains de la zone dite des ""50 pas géométriques"" en Guadeloupe";Agence de l'État;;;;;;;
48;Taxe spéciale d'équipement;article 97;LFI 1998;"Agence pour la mise en valeur des espaces urbains de la zone dite des ""50 pas géométriques"" en Martinique";Agence de l'État;;;;;;;
48;Taxe spéciale d'équipement;article 97;LFI 1998;Établissement du Puy de Dôme;Agence locale;;;;;;;
48;Taxe spéciale d'équipement;article 97;LFI 1998;Établissement public de la Basse Seine;Agence locale;;;;;;;
48;Taxe spéciale d'équipement;article 97;LFI 1998;Établissement public foncier Argenteuil-Bezons;Agence locale;;;;;;;
48;Taxe spéciale d'équipement;article 97;LFI 1998;Établissement public foncier d'aménagement de la Guyane;Agence de l'État;;;;;;;
48;Taxe spéciale d'équipement;article 97;LFI 1998;Établissement public foncier de Lorraine;Agence de l'État;;;;;;;
48;Taxe spéciale d'équipement;article 97;LFI 1998;Établissement public foncier de l'Ouest Rhône-Alpes;Agence de l'État;;;;;;;
48;Taxe spéciale d'équipement;article 97;LFI 1998;Établissement public foncier de Provence-Alpes-Côte d'Azur;Agence de l'État;;;;;;;
48;Taxe spéciale d'équipement;article 97;LFI 1998;Établissement public foncier local de la région grenobloise;Agence locale;;;;;;;
48;Taxe spéciale d'équipement;article 97;LFI 1998;Établissement public foncier Nord-Pas-de-Calais;Agence de l'État;;;;;;;
394;Taxe additionnelle à la taxe sur les installations nucléaires de base - Recherche;article 43 V;LFI 2000 modifié par la loi n°2006-739 du 28 juin 2006;Agence nationale pour la gestion des déchets radioactifs;Agence de l'État;;;;;;;
414;Taxe additionnelle à la taxe sur les installations nucléaires de base - Diffusion technologique;article 43 V;LFI 2000 modifié par la loi n°2006-739 du 28 juin 2006;"Groupements d'intérêt public ""Objectif Meuse"" et ""Haute-Marne""";Agence locale;18;18;18;20;20;20;20
48;Taxe spéciale d'équipement;article . 88;LFI 2001;"Agence pour la mise en valeur des espaces urbains de la zone dite des ""50 pas géométriques"" en Guadeloupe";Agence de l'État;;;;;;;
48;Taxe spéciale d'équipement;article . 88;LFI 2001;"Agence pour la mise en valeur des espaces urbains de la zone dite des ""50 pas géométriques"" en Martinique";Agence de l'État;;;;;;;
48;Taxe spéciale d'équipement;article . 88;LFI 2001;Établissement du Puy de Dôme;Agence locale;;;;;;;
48;Taxe spéciale d'équipement;article . 88;LFI 2001;Établissement public de la Basse Seine;Agence locale;;;;;;;
48;Taxe spéciale d'équipement;article . 88;LFI 2001;Établissement public foncier Argenteuil-Bezons;Agence locale;;;;;;;
48;Taxe spéciale d'équipement;article . 88;LFI 2001;Établissement public foncier d'aménagement de la Guyane;Agence de l'État;;;;;;;
48;Taxe spéciale d'équipement;article . 88;LFI 2001;Établissement public foncier de l'Ouest Rhône-Alpes;Agence de l'État;;;;;;;
48;Taxe spéciale d'équipement;article . 88;LFI 2001;Établissement public foncier de Provence-Alpes-Côte d'Azur;Agence de l'État;;;;;;;
48;Taxe spéciale d'équipement;article . 88;LFI 2001;Établissement public foncier local de la région grenobloise;Agence locale;;;;;;;
48;Taxe spéciale d'équipement;article . 88;LFI 2001;Établissement public foncier Nord-Pas-de-Calais;Agence de l'État;;;;;;;
48;Taxe spéciale d'équipement;article 88;LFI 2001;Établissement public foncier de Lorraine;Agence de l'État;;;;;;;
9935;Contribution sociale de solidarité des sociétés;article 36;LFI 2002;Multiples (social);Affectation initiale aux organismes de sécurité sociale;;;;;;;
127;Taxe perçue à l'occasion de la délivrance du premier titre de séjour;article 133;LFI 2003;Office français de l'immigration et de l'intégration;Agence de l'État;;;;;;;
9864;Taxe sur les primes d'assurance;article 124 I;LFI 2003 du 27 décembre 2003;Fonds de compensation des risques de l'assurance-construction;Contribution rendue obligatoire par l'État;;;;;;;
9916;Taxe additionnelle à la redevance sanitaire d'abattage;article 28;LFI 2004 n°2003-1311 du 30 décembre 2003;Centre national d'aménagement des structures des exploitations agricoles;Agence de l'État;;;;;;;
70;Taxe pour le développement des industries du cuir, de la maroquinerie, de la ganterie et de la chaussure;article 44;LFI 2005;Comité professionnel de développement Cuir, Chaussure, Maroquinerie;Organisme professionnel;9;10;9;11;12;12;13
72;Taxe pour le développement des industries de l'habillement;article 44;LFI 2005;Comité de développement et de promotion de l'habillement;Organisme professionnel;9;9;8;9;10;10;10
179;Taxe annuelle sur les locaux à usage de bureaux, les locaux commerciaux, les locaux de stockage et les surfaces de stationnement annexées à ces catégories de locaux perçue dans la région Ile-de-France;;LFI 2006;Union d'économie sociale du logement;Contribution rendue obligatoire par l'État;;;;;;;
435;Produits des jeux exploités par la Française des Jeux;art 53;LFI 2006;Centre national pour le développement du sport;Agence de l'État;196;226;;;;;
47;Taxe pour frais de chambres de commerce et d'industrie;article 130;LFI 2006;Assemblée permanente des chambres de commerce et d'industrie;Monde consulaire;;;;;;;
47;Taxe pour frais de chambres de commerce et d'industrie;article 130;LFI 2006;Chambres de commerce et de l'industrie;Monde consulaire;;;;;;;
47;Taxe pour frais de chambres de commerce et d'industrie;article 130;LFI 2006;Chambres régionales de commerce et d'industrie;Monde consulaire;;;;;;;
47;Taxe pour frais de chambres de commerce et d'industrie;article 130;LFI 2006;Multiples (consulaire et professionnel);Monde consulaire;;;;;;;
259;Taxe sur les voitures particulières les plus polluantes;article 18;LFI 2006;Agence de l'environnement et de la maîtrise de l'énergie;Agence de l'État;;;;;;;
260;Taxe intérieure sur les consommations de gaz naturel;article 58;LFI 2006;Agence de l'environnement et de la maîtrise de l'énergie;Agence de l'État;;;;;;;
235;Taxe sur les spectacles;article 86 ;LFI 2006;Association pour le soutien du théâtre privé;Agence de l'État;5;6;6;7;6;7;6
79;"Droit annuel de francisation et de navigation en Corse; droit de passeport en Corse";;LFI 2007;Conservatoire de l'espace littoral et des rivages lacustres;Agence de l'État;;;;;;;
74;Taxe pour le développement des industries des matériaux de construction regroupant les industries du béton, de la terre cuite et des roches ornementales et de construction;art 111;LFI 2007;Centre d'étude et de recherche de l'industrie du béton;Organisme professionnel;;;;;;;
74;Taxe pour le développement des industries des matériaux de construction regroupant les industries du béton, de la terre cuite et des roches ornementales et de construction;art 111;LFI 2007;Centre technique de matériaux naturels de construction;Organisme professionnel;;;;;;;
74;Taxe pour le développement des industries des matériaux de construction regroupant les industries du béton, de la terre cuite et des roches ornementales et de construction;art 111;LFI 2007;Multiples (consulaire et professionnel);Organisme professionnel;18;17;15;15;15;16;16
69;Taxe pour le développement des industries de l'ameublement ainsi que des industries du bois;article 109;LFI 2007;Centre technique de la mécanique;Organisme professionnel;;;;;;;
69;Taxe pour le développement des industries de l'ameublement ainsi que des industries du bois;article 109;LFI 2007;Centres techniques industriels de la mécanique;Organisme professionnel;;;;;;;
69;Taxe pour le développement des industries de l'ameublement ainsi que des industries du bois;article 109;LFI 2007;Comité professionnel de développement des industries françaises de l'ameublement et du bois;Organisme professionnel;;;;;;;
69;Taxe pour le développement des industries de l'ameublement ainsi que des industries du bois;article 109;LFI 2007;Institut technologique FCBA;Organisme professionnel;;;;;;;
69;Taxe pour le développement des industries de l'ameublement ainsi que des industries du bois;article 109;LFI 2007;Multiples (consulaire et professionnel);Organisme professionnel;13;14;11;18;15;14;17
71;Taxe pour le développement des industries de l'horlogerie, bijouterie, joaillerie, orfèvrerie et arts de la table;article 110;LFI 2007;Francéclat;Organisme professionnel;12;13;10;13;14;14;14
186;Taxe pour l'évaluation et le contrôle de la mise sur le marché des produits phytopharmaceutiques et à leurs adjuvants mentionnés à l'article L. 253-1 du Code rural et de la pêche maritime et aux matières fertilisantes et supports de culture mentionnés à l;article 130;LFI 2007;Agence nationale de sécurité sanitaire, de l'alimentation, de l'environnement et du travail;Agence de l'État;7;8;11;8;9;9;11
178;Droits de consommation sur les tabacs;article 41;LFI 2007;Agence centrale des organismes de sécurité sociale;Réaffectation aux organismes de sécurité sociale;;;;;;;
178;Droits de consommation sur les tabacs;article 41;LFI 2007;Fonds national d'aide au logement;Prélèvements péréquateurs;;;;;;;
282;Taxe sur les installations nucléaires de base;article 42;LFI 2007;Institut de radioprotection et de sûreté nucléaire;Agence de l'État;;;;;;;
208;Contribution sociale sur les bénéfices;article 45;LFI 2007;Agence nationale pour la recherche;Réaffectation aux organismes de sécurité sociale;825;;;;;;
208;Contribution sociale sur les bénéfices;article 45;LFI 2007;Multiples (État);Réaffectation aux organismes de sécurité sociale;;;;;;;
208;Contribution sociale sur les bénéfices;article 45;LFI 2007;OSEO;Réaffectation aux organismes de sécurité sociale;130;;;;;;
213;Droits de timbre sur les passeports sécurisés;article 46;LFI 2007;Agence nationale des titres sécurisés;Agence de l'État;;;;;;;
9956;Taxe perçue à l'occasion de la délivrance, du renouvellement, du duplicata ou du changement d'une carte de séjour ou équivalent prévu par les traités ou accords internationaux    ;article 46;LFI 2007;Agence nationale des titres sécurisés;Agence de l'État;;;;;8;8;15
554;Droit de licence sur la rémunération des débitants de tabacs;;LFI 2008;Divers régimes de sécurité sociale;Réaffectation aux organismes de sécurité sociale;;;;;;;
213;Droits de timbre sur les passeports sécurisés;article 21;LFI 2008;Agence nationale des titres sécurisés;Agence de l'État;;;;;;;
574;Contribution sociale sur les bénéfices;article 53;LFI 2008;Divers régimes de sécurité sociale;Réaffectation aux organismes de sécurité sociale;;;;;;;
594;TVA brute collectée sur les producteurs de boissons alcoolisées;article 53;LFI 2008;Divers régimes de sécurité sociale;Réaffectation aux organismes de sécurité sociale;0;2080;2069;1970;2177;2100;0
1161;Droit de timbre sur les cartes nationales d'identité;article 134;LFI 2009;Agence nationale des titres sécurisés;Agence de l'État;;0;13;13;13;13;13
1162;Taxe pour la gestion des certificats d'immatriculation des véhicules;article 135;LFI 2009;Agence nationale des titres sécurisés;Agence de l'État;;0;43;43;43;43;43
262;Taxe générale sur les activités polluantes;article 29;LFI 2009;Agence de l'environnement et de la maîtrise de l'énergie;Agence de l'État;25;;;;;;
213;Droits de timbre sur les passeports sécurisés;article 64;LFI 2009;Agence nationale des titres sécurisés;Agence de l'État;45;48;131;108;108;108;108
262;Taxe générale sur les activités polluantes;article 154;LFI 2011;Agence de l'environnement et de la maîtrise de l'énergie;Agence de l'État;;;402,3;;;;
9964;Taxe exceptionnelle sur la réserve de capitalisation (exit-tax);article 23;LFI 2011;Caisse nationale d'allocations familiales;Affectation initiale aux organismes de sécurité sociale;;;;0;836;836;0
9946;Taxe sur les titres de voyage biométriques délivrés aux réfugiés et aux apatrides titulaires d'une carte de résident   ;article 77;LFI 2011;Agence nationale des titres sécurisés;Agence de l'État;;;;0;0;0;0
9956;Taxe perçue à l'occasion de la délivrance, du renouvellement, du duplicata ou du changement d'une carte de séjour ou équivalent prévu par les traités ou accords internationaux    ;article 77;LFI 2011;Agence nationale des titres sécurisés;Agence de l'État;;;;0;;;
9921;"Contributions additionnelle et complémentaire aux primes ou cotisations d'assurance couvrant à titre exclusif ou principal:- les dommages aux bâtiments et au cheptel mort affectés aux exploit. agric.; - les risques responsabilité civ.";article 35;LFR 1986 n° 86-1318 du 30 décembre 1986;Fonds national de garantie des risques agricoles et fonds de calamités agricoles dans les départements d'outre-mer;Contribution rendue obligatoire par l'État;;;;;;;
9922;"Contributions additionnelle et complémentaire aux primes ou cotisations d'assurance couvrant à titre exclusif ou principal:- les dommages aux bâtiments et au cheptel mort affectés aux exploit. agric.; - les risques responsabilité civ.";article 38;LFR 1991 n° 91-1323 du 30 décembre 1991;Fonds national de garantie des risques agricoles et fonds de calamités agricoles dans les départements d'outre-mer;Contribution rendue obligatoire par l'État;;;;;;;
48;Taxe spéciale d'équipement;article 37;LFR 2002;"Agence pour la mise en valeur des espaces urbains de la zone dite des ""50 pas géométriques"" en Guadeloupe";Agence de l'État;;;;;;;
48;Taxe spéciale d'équipement;article 37;LFR 2002;"Agence pour la mise en valeur des espaces urbains de la zone dite des ""50 pas géométriques"" en Martinique";Agence de l'État;;;;;;;
48;Taxe spéciale d'équipement;article 37;LFR 2002;Établissement du Puy de Dôme;Agence locale;;;;;;;
48;Taxe spéciale d'équipement;article 37;LFR 2002;Établissement public de la Basse Seine;Agence locale;;;;;;;
48;Taxe spéciale d'équipement;article 37;LFR 2002;Établissement public foncier Argenteuil-Bezons;Agence locale;;;;;;;
48;Taxe spéciale d'équipement;article 37;LFR 2002;Établissement public foncier d'aménagement de la Guyane;Agence de l'État;;;;;;;
48;Taxe spéciale d'équipement;article 37;LFR 2002;Établissement public foncier de Lorraine;Agence de l'État;;;;;;;
48;Taxe spéciale d'équipement;article 37;LFR 2002;Établissement public foncier de l'Ouest Rhône-Alpes;Agence de l'État;;;;;;;
48;Taxe spéciale d'équipement;article 37;LFR 2002;Établissement public foncier de Provence-Alpes-Côte d'Azur;Agence de l'État;;;;;;;
48;Taxe spéciale d'équipement;article 37;LFR 2002;Établissement public foncier local de la région grenobloise;Agence locale;;;;;;;
48;Taxe spéciale d'équipement;article 37;LFR 2002;Établissement public foncier Nord-Pas-de-Calais;Agence de l'État;;;;;;;
48;Taxe spéciale d'équipement;article 37;LFR 2002;Établissements publics fonciers;Agence locale;;;;;;;
9914;Taxe sur le chiffre d'affaires des exploitations agricoles;article 43;LFR 2002 n°2002-1576 du 30 décembre 2002;CAS développement agricole et rural;Affectation interne;;;;;;;
236;Taxe sur les spectacles de variétés;article 76;LFR 2003;Centre national de la chanson, des variétés et du jazz;Agence de l'État;17;17;20;24;24;23;24
235;Taxe sur les spectacles;article 77;LFR 2003;Association pour le soutien du théâtre privé;Agence de l'État;;;;;;;
71;Taxe pour le développement des industries de l'horlogerie, bijouterie, joaillerie, orfèvrerie et arts de la table;article 71 C;LFR 2003 n° 2003-1312 du 30 décembre 2003;Francéclat;Organisme professionnel;;;;;;;
